student_id,is_synthetic,data_class,generating_model_fingerprint,Sector,Grade_Band,Economic_Strain,Parent_Education,Parent_Availability,Neuro_Type,Child_Labour_Household_Duties,Transport_Burden,Food_Health_Burden,Home_Educational_Support,WASH_Quality,Sensory_Environment,School_Accommodation,Bullying_Social_Exclusion,Teacher_Resource_Adequacy,Support_Mismatch,School_Distress,Access_Barrier,Previous_Attendance,Current_Academic_Performance,Current_Academic_Stress,Psychological_Attendance_Barrier,Current_Attendance,School_Engagement,Next_Term_Dropout_Risk
SYNTH-000001,True,SYNTHETIC_NOT_REAL_STUDENT_DATA,c1b90a898747cc01,Rural,Junior_Secondary,Moderate,Low,Available,Typical,Low,High,Low,Limited,Adequate,Supportive,Adequate,Low,Limited,Low,Low,Low,Regular,Adequate,Low,Low,Regular,High,Low
SYNTH-000002,True,SYNTHETIC_NOT_REAL_STUDENT_DATA,c1b90a898747cc01,Urban,Primary,High,Secondary,Available,Typical,Low,High,Low,Adequate,Adequate,Supportive,Inadequate,Low,Adequate,Low,Low,Low,Regular,Low,Low,Low,Irregular,High,Low
SYNTH-000003,True,SYNTHETIC_NOT_REAL_STUDENT_DATA,c1b90a898747cc01,Rural,Primary,High,Secondary,Available,Typical,Low,Low,High,Adequate,Adequate,Overloading,Inadequate,Low,Limited,Low,Low,Low,Regular,Adequate,Low,Low,Regular,Low,Low
SYNTH-000004,True,SYNTHETIC_NOT_REAL_STUDENT_DATA,c1b90a898747cc01,Rural,Primary,Moderate,Secondary,Available,Typical,Low,Low,High,Adequate,Inadequate,Overloading,Inadequate,Low,Adequate,Low,Low,Low,Irregular,Adequate,Low,Low,Irregular,High,Medium
SYNTH-000005,True,SYNTHETIC_NOT_REAL_STUDENT_DATA,c1b90a898747cc01,Urban,Junior_Secondary,Low,Secondary,Limited_or_Away,Typical,High,Low,Low,Limited,Adequate,Overloading,Inadequate,Low,Adequate,Low,Low,Low,Regular,Adequate,Low,Low,Regular,High,Low
SYNTH-000006,True,SYNTHETIC_NOT_REAL_STUDENT_DATA,c1b90a898747cc01,Urban,OLevel_ALevel,Low,Post_Secondary,Limited_or_Away,Typical,Low,Low,Low,Adequate,Adequate,Overloading,Inadequate,Low,Adequate,Low,Low,Low,Regular,Adequate,Low,Low,Regular,High,Low
SYNTH-000007,True,SYNTHETIC_NOT_REAL_STUDENT_DATA,c1b90a898747cc01,Rural,Primary,Moderate,Low,Available,Typical,Low,High,Low,Limited,Inadequate,Supportive,Inadequate,Low,Adequate,Low,Low,Low,Regular,Adequate,Low,Low,Regular,High,Low
SYNTH-000008,True,SYNTHETIC_NOT_REAL_STUDENT_DATA,c1b90a898747cc01,Rural,Junior_Secondary,High,Secondary,Available,Typical,Low,High,Low,Adequate,Inadequate,Supportive,Inadequate,High,Limited,Low,Low,High,Regular,Adequate,Low,Low,Regular,High,Low
SYNTH-000009,True,SYNTHETIC_NOT_REAL_STUDENT_DATA,c1b90a898747cc01,Rural,Junior_Secondary,High,Secondary,Available,Typical,Low,Low,Low,Limited,Adequate,Supportive,Inadequate,Low,Adequate,High,Low,Low,Regular,Low,Low,Low,Irregular,Low,Medium
SYNTH-000010,True,SYNTHETIC_NOT_REAL_STUDENT_DATA,c1b90a898747cc01,Rural,Junior_Secondary,Low,Secondary,Available,Typical,Low,High,Low,Adequate,Inadequate,Supportive,Inadequate,Low,Adequate,Low,Low,High,Regular,Adequate,High,Low,Regular,High,Low
